,S&C Positrol Fuse Links,,,,,,,,,,S&C Positrol Fuse Links,,,,,,,,,,S&C Positrol Fuse Links,,,,,,,,,
,Universal and Extra Performance Styles,,,,,,,,,,Universal and Extra Performance Styles,,,,,,,,,,Universal and Extra Performance Styles,,,,,,,,,
,"""K"" Speed (TCC 165-6-2)",,,,,,,,,,"""K"" Speed (TCC 165-6-2)",,,,,,,,,,"""K"" Speed (TCC 165-6-2)",,,,,,,,,
,"Total Clearing Time-Current Characteristic Curves Dated January 20, 1986",,,,,,,,,,"Total Clearing Time-Current Characteristic Curves Dated January 20, 1986",,,,,,,,,,"Total Clearing Time-Current Characteristic Curves Dated January 20, 1986",,,,,,,,,
,Tolerance:  Curves are plotted to maximum test points.  All variations are minus.,,,,,,,,,,Tolerance:  Curves are plotted to maximum test points.  All variations are minus.,,,,,,,,,,Tolerance:  Curves are plotted to maximum test points.  All variations are minus.,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6K,,8K,,10K,,12K,,15K,,20K,,25K,,30K,,40K,,50K,,65K,,80K,,100K,,140K,,200K,
,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time
 ,"77,2731","0,164283","47,2922","0,739219","55,6647","0,869219","72,6277","0,791235","81,8056","1,07233","96,6741","1,28767","169,075","0,628034","145,816","1,40191","258,357","0,695475","288,976","0,935045","293,93","1,53087","349,794","1,97553","606,281","0,853713","849,241","2,08306","1319,94","4,80589"
 ,"70,4107","0,195506","43,0063","0,913785","51,6942","1,02105","67,7176","0,926668","78,2842","1,18393","92,1434","1,4533","155,764","0,745157","139,958","1,5509","240,169","0,815332","268,901","1,1072","283,537","1,6885","336,414","2,20084","572,689","0,976129","817,575","2,37225","1287,35","5,42405"
 ,"64,222","0,232431","39,4623","1,11387","47,7198","1,2212","64,222","1,05005","75,4406","1,29413","87,1252","1,67002","142,785","0,896587","134,47","1,71745","223,261","0,964486","248,227","1,33354","273,511","1,87168","321,29","2,49887","552,992","1,06272","787,878","2,69889","1255,56","6,12785"
 ,"58,1105","0,282193","36,2829","1,35912","44,7614","1,4231","60,7244","1,19344","72,9188","1,40472","82,5452","1,93062","128,939","1,12506","128,296","1,94418","210,891","1,10278","229,831","1,62716","265,163","2,04386","311,794","2,7342","532,905","1,16513","763,828","3,05213","1225,79","6,96462"
 ,"53,3752","0,333817","33,9655","1,59974","42,1126","1,64187","57,9944","1,33621","69,2931","1,59335","78,9919","2,17242","120,342","1,31632","124,38","2,11878","199,406","1,26344","220,598","1,82365","256,299","2,26107","300,769","3,0613","514,576","1,27869","747,208","3,38327","1191,94","8,0675"
 ,"48,8789","0,400051","32,18","1,8383","39,5018","1,92676","55,0557","1,52629","66,6427","1,76445","75,9706","2,42502","115,162","1,46791","119,264","2,38414","189,491","1,43453","211,948","2,03774","246,249","2,54935","293,05","3,34625","497,374","1,40472","733,145","3,72789","1160,19","9,42009"
 ,"44,9858","0,472763","30,4884","2,12514","37,09","2,27014","52,266","1,75039","63,5194","2,00138","72,9188","2,76445","109,875","1,64352","113,561","2,76168","178,813","1,6717","204,045","2,26787","237,542","2,86292","287,822","3,57813","477,872","1,57434","715,759","4,20318","1115,81","11,8206"
 ,"40,7863","0,579169","28,6842","2,52147","34,9999","2,64545","49,5185","2,02555","60,6031","2,27468","70,1998","3,10136","105,356","1,8273","109,327","3,09207","168,569","1,96372","197,619","2,50137","229,371","3,22793","280,716","3,92687","459,134","1,76621","697,389","4,80109","1080,67","14,4666"
 ,"37,6505","0,694085","27,122","2,96786","33,2264","3,05824","47,1506","2,32528","57,4173","2,6667","68,1251","3,44472","101,022","2,03774","105,25","3,50728","160,347","2,26107","191,779","2,7342","221,704","3,62495","274,059","4,33552","444,675","1,95588","682,896","5,37545","1053,99","17,1989"
 ,"34,9649","0,818599","25,3644","3,64677","31,5428","3,57099","45,3471","2,62175","55,2764","3,01573","65,5849","3,94655","98,0371","2,22741","101,732","3,95841","153,138","2,56726","184,998","3,07973","215,152","4,09122","267,56","4,84449","428,522","2,20084","671,385","5,94674","1035,19","19,3336"
 ,"32,4385","0,971261","24,007","4,38348","29,9745","4,16969","43,6999","2,95011","53,482","3,34291","63,7103","4,44083","94,5705","2,46167","98,9234","4,38786","145,524","2,98572","180,61","3,3329","208,376","4,65919","260,954","5,44035","412,132","2,4889","652,847","6,92989","1017,74","20,9438"
 ,"29,3222","1,22487","23,135","4,99702","28,5697","4,88829","42,0284","3,37313","51,9014","3,66139","61,5805","5,1184","90,4996","2,78665","96,6741","4,87852","139,399","3,40703","176,857","3,59967","202,217","5,37545","254,511","6,12172","397,559","2,82311","639,92","7,93151","1000,58","23,3324"
 ,"27,587","1,42168","22,3616","5,69076","27,3672","5,7537","40,6235","3,84911","50,3675","4,11172","59,7008","6,10949","86,6906","3,18305","94,0988","5,49502","133,666","3,84911","172,836","3,9703","197,422","6,09728","249,971","6,74528","386,195","3,11691","629,133","8,90706","985,691","26,3863"
 ,"25,8768","1,66502","21,7224","6,47432","26,5584","6,5198","39,5018","4,3442","49,1731","4,59902","57,9364","7,30708","82,7932","3,67239","91,9593","6,24539","128,168","4,46756","168,232","4,44972","193,126","6,81989","246,003","7,4398","375,532","3,46198","617,293","10,0527","971,987","30,0796"
 ,"24,224","1,97553","21,1226","7,47709","25,9286","7,32903","38,2195","5,08779","47,8153","5,26901","56,4495","8,60931","79,5468","4,20318","89,7785","7,23437","123,636","5,12865","164,078","5,0271","189,491","7,63577","239,929","8,61792","362,616","3,95841","604,465","11,7147","960,393","33,0112"
 ,"22,7905","2,32993","20,663","8,69584","25,5426","8,27173","37,1271","5,90526","46,5416","6,09728","54,9457","10,5364","76,3514","4,82515","87,3869","8,50662","120,463","5,74795","160,347","5,63977","185,553","8,69584","234,474","10,1842","353,663","4,43196","592,495","13,8162","941,376","38,0479"
 ,"21,7224","2,6667","20,2944","10,2763","25,0869","9,49575","36,0298","6,90222","45,2113","7,14093","53,8039","12,464","74,5407","5,3433","84,8891","10,5893","117,606","6,37793","156,232","6,44847","182,608","9,80453","229,371","12,0835","343,554","5,05735","582,508","15,9561","921,813","44,0289"
 ,"20,8082","3,02176","19,8528","12,5014","24,6394","10,9774","35,2811","7,84475","44,316","8,12417","52,7913","15,0119","73,0647","5,8582","83,0419","12,6397","115,277","7,11954","152,222","7,45469","179,53","11,1099","225,28","13,997","335,406","5,68507","570,974","18,9508","899,953","51,5652"
 ,"19,7933","3,52839","19,4208","15,3458","24,1756","12,9856","34,5133","9,07791","43,3517","9,37311","51,9533","17,8115","71,3321","6,62495","81,479","15,1779","113,221","7,95534","149,507","8,43883","176,857","12,539","221,704","16,1488","326,145","6,57874","563,036","22,1502","872,483","62,4177"
 ,"18,9035","4,11584","19,0935","19,0457","23,8634","15,0871","33,8638","10,4839","42,4933","10,7278","51,2311","21,2179","69,5013","7,7048","79,9456","18,7622","111,201","8,8715","146,693","9,44839","174,224","14,3513","218,403","18,8751","317,775","7,54469","556,32","25,4788","850,941","73,1746"
 ,"17,9815","4,85419","18,8092","23,9231","23,5787","17,4763","33,2597","12,0112","41,6935","12,464","50,5188","26,4127","68,057","8,79202","78,913","22,8247","108,673","10,4212","144,076","10,5893","171,802","16,3928","214,722","22,6429","310,239","8,80962","549,684","29,249","829,102","83,7511"
 ,"17,1388","5,81153","18,622","30,2303","23,2509","21,4526","32,8301","13,5833","40,9907","14,4521","49,8165","34,1187","66,6427","10,1842","77,9717","27,6837","107,162","11,5403","142,073","11,8561","169,244","19,0457","212,16","26,5451","303,792","10,1233","543,67","33,9146","807,823","95,1876"
 ,"16,599","6,63822","18,4367","39,2459","22,9966","26,1761","32,471","15,7658","40,2595","17,1817","49,469","41,382","65,5194","11,6679","77,2731","34,2212","105,461","13,2083","139,958","13,3945","167,393","21,6249","209,211","31,0577","297,182","11,8088","539,338","39,2852","783,948","109,273"
 ,"16,1246","7,57493","18,2533","49,9413","22,7905","33,4766","32,18","17,9905","39,5809","21,0278","49,1239","54,2091","64,415","13,5156","76,5808","42,5571","103,683","15,1628","138,15","15,0419","165,893","24,309","206,715","36,301","291,88","13,4751","532,372","45,0533","756,985","126,576"
 ,"15,7737","8,47266","18,0898","65,5523","22,6089","40,6438","31,9875","20,902","38,9916","25,5043","48,6838","73,0284","63,3925","15,7343","76,1988","53,7771","102,242","17,5463","136,093","17,3544","164,242","28,2148","204,659","43,0709","287,822","15,3152","524,971","51,4108","732,412","145,162"
 ,"15,5078","9,46731","17,9995","86,388","22,5187","48,8546","31,7962","24,6763","38,565","30,5647","48,2959","101,073","62,324","18,9508","75,6673","67,3463","100,82","20,2437","134,874","19,1604","162,283","33,4097","202,622","50,8992","282,405","17,7404","517,155","58,1978","701,586","170,008"
 ,"15,3843","10,4839","17,9636","119,205","22,4288","59,3142","31,7009","30,1398","38,1431","38,1241","47,911","141,719","61,3347","23,1929","75,4406","89,3757","99,5187","24,019","133,132","21,9298","160,829","39,4426","200,807","60,8766","278,479","20,264","508,947","65,4868","681,532","188,077"
 ,"15,2312","11,8679","17,9098","174,138","22,4512","73,6887","31,5744","36,301","37,8014","48,1754","47,6244","178,012","60,482","29,1614","75,0644","111,703","98,6271","27,7947","131,413","24,9493","159,229","46,6115","199,207","71,3679","274,608","23,5669","500,368","73,1015","664,04","204,558"
 ,"15,0947","13,5021","17,9277","247,361","22,3393","91,8218","31,4798","46,8451","37,5753","61,5499","47,3395","225,619","60,0001","35,5111","74,8395","135,348","97,3532","34,5306","129,845","28,4414","157,96","56,0839","197,619","83,3334","270,79","27,2171","492,425","82,0107","646,351","225,394"
